Date,Close
2023-11-23 00:00:00+00:00,37289.62109375
2023-11-24 00:00:00+00:00,37720.28125
2023-11-25 00:00:00+00:00,37796.79296875
2023-11-26 00:00:00+00:00,37479.12109375
2023-11-27 00:00:00+00:00,37254.16796875
2023-11-28 00:00:00+00:00,37831.0859375
2023-11-29 00:00:00+00:00,37858.4921875
2023-11-30 00:00:00+00:00,37712.74609375
2023-12-01 00:00:00+00:00,38688.75
2023-12-02 00:00:00+00:00,39476.33203125
2023-12-03 00:00:00+00:00,39978.390625
2023-12-04 00:00:00+00:00,41980.09765625
2023-12-05 00:00:00+00:00,44080.6484375
2023-12-06 00:00:00+00:00,43746.4453125
2023-12-07 00:00:00+00:00,43292.6640625
2023-12-08 00:00:00+00:00,44166.6015625
2023-12-09 00:00:00+00:00,43725.984375
2023-12-10 00:00:00+00:00,43779.69921875
2023-12-11 00:00:00+00:00,41243.83203125
2023-12-12 00:00:00+00:00,41450.22265625
2023-12-13 00:00:00+00:00,42890.7421875
2023-12-14 00:00:00+00:00,43023.97265625
2023-12-15 00:00:00+00:00,41929.7578125
2023-12-16 00:00:00+00:00,42240.1171875
2023-12-17 00:00:00+00:00,41364.6640625
2023-12-18 00:00:00+00:00,42623.5390625
2023-12-19 00:00:00+00:00,42270.52734375
2023-12-20 00:00:00+00:00,43652.25
2023-12-21 00:00:00+00:00,43869.15234375
2023-12-22 00:00:00+00:00,43997.90234375
2023-12-23 00:00:00+00:00,43739.54296875
2023-12-24 00:00:00+00:00,43016.1171875
2023-12-25 00:00:00+00:00,43613.140625
2023-12-26 00:00:00+00:00,42520.40234375
2023-12-27 00:00:00+00:00,43442.85546875
2023-12-28 00:00:00+00:00,42627.85546875
2023-12-29 00:00:00+00:00,42099.40234375
2023-12-30 00:00:00+00:00,42156.90234375
2023-12-31 00:00:00+00:00,42265.1875
2024-01-01 00:00:00+00:00,44167.33203125
2024-01-02 00:00:00+00:00,44957.96875
2024-01-03 00:00:00+00:00,42848.17578125
2024-01-04 00:00:00+00:00,44179.921875
2024-01-05 00:00:00+00:00,44162.69140625
2024-01-06 00:00:00+00:00,43989.1953125
2024-01-07 00:00:00+00:00,43943.09765625
2024-01-08 00:00:00+00:00,46970.50390625
2024-01-09 00:00:00+00:00,46139.73046875
2024-01-10 00:00:00+00:00,46627.77734375
2024-01-11 00:00:00+00:00,46368.5859375
2024-01-12 00:00:00+00:00,42853.16796875
